visibility_tier,companies,absences,best_of,alternatives,comparison,use_case,evaluation,category_level_total
0,30,300,35.0,20.3,20.0,11.0,9.7,55.3
1-3,25,199,28.1,20.1,24.6,14.6,11.6,48.2
4-6,21,101,14.9,5.9,41.6,20.8,12.9,20.8
7-10,8,16,6.2,6.2,68.8,12.5,0.0,12.5
